Scientific Name|Common Name|# of States 2005|States 2005|# of States 2015|States 2015|Taxonomic Group
Geomys texensis bakeri|Baker's Llano pocket gopher|1|Texas|1|Texas|Mammals
Geomys texensis texensis|Llano pocket gopher|1|Texas|1|Texas|Mammals
Glaucomys sabrinus californicus|San Bernardino flying squirrel|1|California|1|California|Mammals
Glaucomys sabrinus griseifrons|Prince of Wales flying squirrel|1|Alaska|1|Alaska|Mammals
Halichoerus grypus|Gray Seal|0||1|New Jersey|Mammals
Histriophoca fasciata|Ribbon Seal|1|Alaska|1|Alaska|Mammals
Indopacetus pacificus|Tropical Bottlenose Whale|1|Hawaii|1|Hawaii|Mammals
Lagenodelphis hosei|Fraser's Dolphin|1|Hawaii|1|Hawaii|Mammals
Lasiurus cinereus cinereus|Hoary Bat|0||1|Florida|Mammals
Lasiurus cinereus semotus|Hawaiian hoary bat|1|Hawaii|1|Hawaii|Mammals
Lasiurus ega|southern yellow bat|1|Texas|1|Texas|Mammals
Lasiurus intermedius floridanus|Northern Yellow Bat|0||1|Florida|Mammals
Lemmus sibiricus|Black-footed Lemming|0||1|Alaska|Mammals
Lemmus trimucronatus|Nearctic Brown Lemming|1|Alaska|1|Alaska|Mammals
Lepus alleni|antelope jack rabbit|0||1|Arizona|Mammals
Lepus americanus virginianus|Snowshoe hare|0||1|Virginia|Mammals
Lepus callotis|white-sided jack rabbit|0||1|New Mexico|Mammals
Lepus othus|Alaskan Hare|1|Alaska|1|Alaska|Mammals
Marmota broweri|Alaska Marmot|1|Alaska|1|Alaska|Mammals
Marmota caligata|Hoary Marmot|0||1|Idaho|Mammals
Marmota olympus|Olympic Marmot|1|Washington|1|Washington|Mammals
Mephitis macroura|Hooded Skunk|1|Texas|1|Texas|Mammals
Mephitis mephitis|Striped Skunk|2|Florida,Ohio|1|District of Columbia|Mammals
Mesoplodon|beaked whales|0||1|Georgia|Mammals
Mesoplodon densirostris|dense-beaked whale|1|Hawaii|1|Hawaii|Mammals
Mesoplodon mirus|True's Beaked Whale|0||1|Maryland|Mammals
Microdipodops pallidus|Pale Kangaroo Mouse|1|Nevada|1|Nevada|Mammals
Microtus abbreviatus|St. Matthews Island vole|1|Alaska|1|Alaska|Mammals
Microtus californicus|Amargosa Vole|1|California|1|California|Mammals
Microtus canicaudus|Gray-tailed Vole|1|Washington|1|Washington|Mammals
Microtus miurus|Singing Vole|1|Alaska|1|Alaska|Mammals
Microtus oeconomus|Root Vole|1|Alaska|1|Alaska|Mammals
Microtus richardsoni|Water Vole|1|Wyoming|1|Wyoming|Mammals
Microtus townsendii|Townsend's Vole|1|Washington|1|Washington|Mammals
Microtus xanthognathus|Taiga Vole|1|Alaska|1|Alaska|Mammals
Mirounga angustirostris|Northern Elephant Seal|1|Alaska|1|Oregon|Mammals
Monachus schauinslandi|Hawaiian Monk Seal|1|Hawaii|1|Hawaii|Mammals
Monophyllus redmani|Leach's single leaf bat|1|Puerto Rico|1|Puerto Rico|Mammals
Mormoops blainvillii|Antillean ghost-faced bat|1|Puerto Rico|1|Puerto Rico|Mammals
Mormoops megalophylla|ghost-faced bat|1|Texas|1|Texas|Mammals
Mustela frenata inyoensis|Inyo long-tailed weasel|0||1|California|Mammals
Mustela frenata olivacea|Southeastern Weasel|1|Florida|1|Florida|Mammals
Mustela frenata peninsulae|Florida Long-tailed Weasel|1|Florida|1|Florida|Mammals
Mustela frenata xanthogenys|San Joaquin long-tailed weasel|0||1|California|Mammals
Mustela vison evergladensis|Everglades Mink|1|Florida|1|Florida|Mammals
Mustela vison halilimnetes|Gulf Salt Marsh Mink|1|Florida|1|Florida|Mammals
Mustela vison lutensis|Atlantic Salt Marsh Mink|1|Florida|1|Florida|Mammals
Myodes rutilus|Northern Red-backed Mouse|1|Alaska|1|Alaska|Mammals
Myotis auriculus|southwestern myotis|0||1|Arizona|Mammals
Nasua narica|White-nosed Coati|2|New Mexico,Texas|1|Texas|Mammals
Neotoma cinerea|Bushy-tailed Woodrat|2|Arizona,Nebraska|1|Nebraska|Mammals
Neotoma fuscipes|Dusky-footed Woodrat|1|California|1|California|Mammals
Neotoma lepida|Desert Woodrat|1|California|1|Arizona|Mammals
Neotoma leucodon|White-toothed Woodrat|0||1|Oklahoma|Mammals
Neotoma stephensi|Stephens's woodrat|1|Utah|1|Arizona|Mammals
Notiosorex cockrumi|Cockrum's Gray Shrew|0||1|Arizona|Mammals
Ochotona collaris|Collared Pika|1|Alaska|1|Alaska|Mammals
Odobenus rosmarus|Walrus|1|Alaska|1|Alaska|Mammals
Odocoileus hemionus|mule deer|3|Nevada,New Mexico,Utah|1|Nevada|Mammals
Odocoileus virginianus clavium|Key deer|1|Florida|1|Florida|Mammals
Odocoileus virginianus couesi|Coues' White-tailed Deer|1|New Mexico|1|Arizona|Mammals
Onychomys arenicola|Mearns's Grasshopper Mouse|1|Texas|1|Texas|Mammals
Oreamnos americanus|Rocky Mountain goat|1|Idaho|1|Idaho|Mammals
Ovis canadensis mexicana|desert bighorn sheep|2|Arizona,New Mexico|1|Arizona|Mammals
Ovis canadensis nelsoni|Nelson's bighorn sheep|2|California,Nevada|1|California|Mammals
Ovis canadensis sierrae|Sierra Nevada bighorn sheep|0||1|California|Mammals
Parastrellus hesperus|Western Pipistrelle|1|Arizona|1|Texas|Mammals
Pekania pennanti pacifica|Fisher|2|California,Washington|1|Washington|Mammals
Perognathus alticolus alticolus|White-eared Pocket Mouse|1|California|1|California|Mammals
Perognathus alticolus inexpectatus|Tehachapi Pocket Mouse|1|California|1|California|Mammals
Perognathus amplus|Arizona Pocket Mouse|0||1|Arizona|Mammals
Perognathus amplus cineris|Wupatki Arizona pocket mouse|0||1|Arizona|Mammals
Perognathus flavescens melanotis|Apache pocket mouse|1|Arizona|1|Arizona|Mammals
Perognathus flavescens perniger|Plains Pocket Mouse|1|Nebraska|1|Nebraska|Mammals
Perognathus flavus goodpasteri|Springerville Pocket Mouse|1|Arizona|1|Arizona|Mammals
Perognathus inornatus|San Joaquin Pocket Mouse|0||1|California|Mammals
Perognathus longimembris|Little Pocket Mouse|1|Idaho|1|Arizona|Mammals
Perognathus longimembris bangsi|Palm Springs Pocket Mouse|1|California|1|California|Mammals
Perognathus longimembris brevinasus|Los Angeles Pocket Mouse|1|California|1|California|Mammals
Perognathus longimembris internationalis|Jacumba Pocket Mouse|1|California|1|California|Mammals
Perognathus longimembris pacificus|Pacific pocket mouse|1|California|1|California|Mammals
Perognathus parvus|Great Basin Pocket Mouse|2|Montana,Wyoming|1|Wyoming|Mammals
Perognathus parvus xanthonotus|Yellow-eared Pocket Mouse|1|California|1|California|Mammals
Peromyscus attwateri|Texas mouse|1|Kansas|1|Kansas|Mammals
Peromyscus keeni|Keen's Mouse|1|Alaska|1|Alaska|Mammals
Peromyscus maniculatus|Deer Mouse|3|California,Connecticut,Ohio|1|Connecticut|Mammals
Peromyscus pectoralis|White-ankled Deermouse|0||1|Oklahoma|Mammals
Phenacomys ungava|Ungava vole|0||1|Minnesota|Mammals
Phoca largha|Spotted Seal|1|Alaska|1|Alaska|Mammals
Phoca vitulina richardii|Pacific Harbor Seal|1|Alaska|1|Alaska|Mammals
Phocoena phocoena phocoena|North Atlantic Harbor Porpoise|0||1|Connecticut|Mammals
Podomys floridanus|Florida mouse|1|Florida|1|Florida|Mammals
Procyon lotor auspicatus|Key Vaca Raccoon|1|Florida|1|Florida|Mammals
Procyon lotor incautus|Key West Raccoon|1|Florida|1|Florida|Mammals
Procyon lotor inesperatus|Matecumbe Key Raccoon|0||1|Florida|Mammals
Pteronotus parnellii|Parnell's mustached bat|1|Puerto Rico|1|Puerto Rico|Mammals
Pteronotus quadridens|sooty mustached bat|1|Puerto Rico|1|Puerto Rico|Mammals
Pteropus samoensis|Samoan flying fox|1|American Samoa|1|American Samoa|Mammals
Pteropus tonganus|Pacific flying fox|1|American Samoa|1|American Samoa|Mammals
Puma yagouaroundi|Jaguarundi|1|Texas|1|Texas|Mammals
Pusa hispida hispida|Ringed Seal (arctic subspecies)|0||1|Alaska|Mammals
Reithrodontomys raviventris|Salt-marsh Harvest Mouse|1|California|1|California|Mammals
Scalopus aquaticus texanus|Presidio mole|1|Texas|1|Texas|Mammals
Scapanus latimanus parvus|Alameda Island mole|1|California|1|California|Mammals
Sciurus aberti|Abert's Squirrel|3|New Mexico,Utah,Wyoming|1|Colorado|Mammals
Sciurus aberti chuscensis|Abert's Chuska Squirrel|1|Arizona|1|Arizona|Mammals
Sciurus aberti kaibabensis|Kaibab Squirrel|1|Arizona|1|Arizona|Mammals
Sciurus arizonensis|Arizona Gray Squirrel|2|Arizona,New Mexico|1|Arizona|Mammals
Sciurus carolinensis|gray squirrel|2|Nebraska,Ohio|1|Nebraska|Mammals
Sciurus nayaritensis chiricahuae|Chiricahua Nayarit squirrel|1|Arizona|1|Arizona|Mammals
Sciurus niger avicennia|Big Cypress fox squirrel|1|Florida|1|Florida|Mammals
Sciurus niger vulpinus|Eastern Fox Squirrel|1|Pennsylvania|1|Pennsylvania|Mammals
Sigmodon arizonae|Arizona Cotton Rat|2|Arizona,California|1|Arizona|Mammals
Sigmodon fulviventer|Tawny-bellied Cotton Rat|0||1|Arizona|Mammals
Sigmodon ochrognathus|Yellow-nosed Cotton Rat|1|New Mexico|1|Arizona|Mammals
Sorex|red-toothed shrews|0||1|North Carolina|Mammals
Sorex alaskanus|Glacier Bay Water Shrew|1|Alaska|1|Alaska|Mammals
Sorex cinereus streatori|Common Shrew|0||1|Alaska|Mammals
Sorex dispar blitchi|Long-tailed Or Rock Shrew|1|Kentucky|1|Kentucky|Mammals
Sorex dispar dispar|Long-tailed shrew|0||1|Virginia|Mammals
Sorex hoyi montanus|Pygmy shrew|0||1|Colorado|Mammals
Sorex jacksoni|St. Lawrence Island Shrew|1|Alaska|1|Alaska|Mammals
Sorex longirostris eionis|Homossassa shrew|0||1|Florida|Mammals
Sorex monticolus alascensis|Dusky (montane Shrew)|1|Alaska|1|Alaska|Mammals
Sorex monticolus longicaudus|Dusky (montane Shrew)|0||1|Alaska|Mammals
Sorex monticolus malitiosus|Dusky (montane) Shrew|1|Alaska|1|Alaska|Mammals
Sorex monticolus shumaginensis|Dusky (montane) Shrew|0||1|Alaska|Mammals
Sorex ornatus relictus|Buena Vista Lake ornate shrew|1|California|1|California|Mammals
Sorex ornatus salarius|Monterey ornate shrew|1|California|1|California|Mammals
Sorex ornatus salicornicus|salt marsh ornate shrew|1|California|1|California|Mammals
Sorex ornatus sinuosus|Suisun ornate shrew|1|California|1|California|Mammals
Sorex ornatus willetti|Santa Catalina ornate shrew|1|California|1|California|Mammals
Sorex pribilofensis|Pribilof Island Shrew|1|Alaska|1|Alaska|Mammals
Sorex tenellus|great basin dwarf shrew|1|Nevada|1|Nevada|Mammals
Sorex trowbridgii destructioni|Destruction Island shrew|0||1|Washington|Mammals
Sorex tundrensis|Tundra Shrew|1|Alaska|1|Alaska|Mammals
Sorex ugyunak|Barren Ground Shrew|0||1|Alaska|Mammals
Sorex vagrans|wandering shrew|2|Nevada,Wyoming|1|Wyoming|Mammals
Sorex vagrans halicoetes|salt marsh vagrant shrew|1|California|1|California|Mammals
Sorex vagrans paludivagus|Monterey vagrant shrew|1|California|1|California|Mammals
Spilogale gracilis amphialus|Channel Islands spotted skunk|1|California|1|California|Mammals
Spilogale putorius interrupta|Plains spotted skunk|1|Missouri|1|Missouri|Mammals
Spilogale putorius putorius|Eastern spotted skunk|0||1|Virginia|Mammals
Sylvilagus bachmani bachmani|riparian brush rabbit|1|California|1|California|Mammals
Sylvilagus floridanus|Eastern Cottontail|3|District of Columbia,Florida,Ohio|1|District of Columbia|Mammals
Sylvilagus nuttallii grangeri|North Kaibab Mountain Cottontail|1|Arizona|1|Arizona|Mammals
Sylvilagus nuttallii pinetis|Southwestern Cottontail|1|Arizona|1|Arizona|Mammals
Sylvilagus palustris|Marsh Rabbit|3|Alabama,North Carolina,Virginia|1|Alabama|Mammals
Sylvilagus palustris hefneri|Lower Keys marsh rabbit|1|Florida|1|Florida|Mammals
Sylvilagus palustris palustris|Marsh rabbit|0||1|Virginia|Mammals
Sylvilagus robustus|Robust Cottontail|1|Texas|1|Texas|Mammals
Tadarida brasiliensis cynocephala|Brazilian Free-tailed Bat|0||1|Florida|Mammals
Tamias canipes|Gray-footed Chipmunk|1|Texas|1|Texas|Mammals
Tamias cinereicollis|Gray-collared Chipmunk|0||1|Arizona|Mammals
Tamias minimus atristriatus|Penñasco least chipmunk|0||1|New Mexico|Mammals
Tamias quadrivittatus australis|Organ Mountains Colorado chipmunk|0||1|New Mexico|Mammals
Tamias quadrivittatus oscuraensis|Oscura Mountain Colorado Chipmunk|0||1|New Mexico|Mammals
Tamias speciosus callipeplus|Mount Pinos lodgepole chipmunk|1|California|1|California|Mammals
Tamias speciosus speciosus|lodgepole chipmunk|1|California|1|California|Mammals
Tamias umbrinus|Uinta Chipmunk|1|Montana|1|Arizona|Mammals
Tamiasciurus hudsonicus dakotensis|Black Hills red squirrel|0||1|South Dakota|Mammals
Tamiasciurus hudsonicus grahamensis|Mount Graham red squirrel|1|Arizona|1|Arizona|Mammals
Tamiasciurus hudsonicus kenaiensis|Red Squirrel Kenai|1|Alaska|1|Alaska|Mammals
Tamiasciurus hudsonicus picatus|Red Squirrel Kupreanof|1|Alaska|1|Alaska|Mammals
Thomomys bottae robustus|Skull Valley pocket gopher|0||1|Utah|Mammals
Thomomys bottae rubidus|Botta's pocket gopher (rubidus ssp)|1|Colorado|1|Colorado|Mammals
Thomomys bottae subsimilis|Harquahala southern pocket gopher|1|Arizona|1|Arizona|Mammals
Thomomys clusius|Wyoming Pocket Gopher|1|Wyoming|1|Wyoming|Mammals
Thomomys mazama|Western Pocket Gopher|1|Washington|1|Washington|Mammals
Thomomys monticola|Mountain Pocket Gopher|1|Nevada|1|Nevada|Mammals
Thomomys talpoides cheyennensis|Cheyenne Northern Pocket Gopher|1|Nebraska|1|Nebraska|Mammals
Thomomys talpoides douglasii|Brush Prairie pocket gopher|0||1|Washington|Mammals
Thomomys talpoides pierreicolus|Pierre Northern Pocket Gopher|0||1|Nebraska|Mammals
Thomomys umbrinus|Southern Pocket Gopher|0||1|New Mexico|Mammals
Thomomys umbrinus intermedius|Southern Pocket Gopher|1|Arizona|1|Arizona|Mammals
Tursiops aduncus|Indo-Pacific Bottlenose Dolphin|0||1|American Samoa|Mammals
Urocitellus brunneus|Idaho Ground Squirrel|0||1|Idaho|Mammals
Urocitellus canus|Merriam's Ground Squirrel|1|Idaho|1|Idaho|Mammals
Urocitellus mollis|Piute Ground Squirrel|1|Idaho|1|California|Mammals
Urocitellus parryii|Arctic Ground Squirrel|1|Alaska|1|Alaska|Mammals
Urocitellus parryii ablusus|Arctic Ground Squirrel|1|Alaska|1|Alaska|Mammals
Urocitellus parryii kennicottii|arctic ground squirrel, Barrow|1|Alaska|1|Alaska|Mammals
Urocitellus parryii kodiacensis|arctic ground squirrel, Kodiak Island|1|Alaska|1|Alaska|Mammals
Urocitellus parryii lyratus|Arctic Ground Squirrel|1|Alaska|1|Alaska|Mammals
Urocitellus parryii nebulicola|Arctic Ground Squirrel|1|Alaska|1|Alaska|Mammals
Urocitellus parryii osgoodi|arctic ground squirrel, Osgood's|1|Alaska|1|Alaska|Mammals
Urocitellus townsendii nancyae|Townsend's ground squirrel ssp.|1|Washington|1|Washington|Mammals
Urocyon littoralis catalinae|Santa Catalina Island fox|0||1|California|Mammals
Urocyon littoralis clementae|San Clemente Island fox|0||1|California|Mammals
Urocyon littoralis dickeyi|San Nicolas Island fox|0||1|California|Mammals
Urocyon littoralis littoralis|San Miguel Island fox|0||1|California|Mammals
Urocyon littoralis santacruzae|Santa Cruz Island fox|0||1|California|Mammals
Urocyon littoralis santarosae|Santa Rosa Island fox|0||1|California|Mammals
Ursus americanus floridanus|Florida Black Bear|2|Florida,Georgia|1|Florida|Mammals
Ursus maritimus|Polar Bear|1|Alaska|1|Alaska|Mammals
Vulpes lagopus|Blue Fox|0||1|Alaska|Mammals
Vulpes vulpes|Red Fox|2|Arizona,Ohio|1|Arizona|Mammals
Vulpes vulpes cascadensis|Cascade Red Fox|0||1|Washington|Mammals
Xerospermophilus mohavensis|Mohave Ground Squirrel|1|California|1|California|Mammals
Xerospermophilus tereticaudus chlorus|Coachella Valley round-tailed ground squirrel|1|California|1|California|Mammals
Zapus princeps|Western Jumping Mouse|1|Nevada|1|Nevada|Mammals
Zapus trinotatus|Pacific Jumping Mouse|1|California|1|California|Mammals
Arborimus albipes|White-footed Vole|1|California|0||Mammals
Berardius bairdii|north Pacific bottle-nosed whale|1|Alaska|0||Mammals
Blarina carolinensis shermani|Sherman's short-tailed shrew|1|Florida|0||Mammals
Canis latrans|Coyote|2|Delaware,Ohio|0||Mammals
Canis lupus lycaon|Eastern Timber Wolf|1|New Hampshire|0||Mammals
Chaetodipus californicus femoralis|Dulzura Pocket Mouse|1|California|0||Mammals
Chaetodipus fallax fallax|Northwestern San Diego Pocket Mouse|1|California|0||Mammals
Chaetodipus fallax pallidus|Pallid San Diego Pocket Mouse|1|California|0||Mammals
Corynorhinus townsendii townsendii|Pacific Townsend's big-eared bat|1|Washington|0||Mammals
Didelphis virginiana californica|Mexican Oppossum|1|Arizona|0||Mammals
Didelphis virginiana virginiana|Virginia Oppossum|1|Arizona|0||Mammals
Dipodomys californicus|California Kangaroo Rat|1|Nevada|0||Mammals
Dipodomys nitratoides brevinasus|Short-nosed kangaroo rat|1|California|0||Mammals
Dipodomys panamintinus|Panamint Kangaroo Rat|1|Nevada|0||Mammals
Dipodomys panamintinus argusensis|Argus Mountains Kangaroo Rat|1|California|0||Mammals
Dipodomys panamintinus panamintinus|Panamint Kangaroo Rat|1|California|0||Mammals
Dipodomys venustus elephantinus|big-eared kangaroo rat|1|California|0||Mammals
Dipodomys venustus venustus|Santa Cruz Kangaroo Rat|1|California|0||Mammals
Enhydra lutris|Sea Otter|2|Alaska,Washington|0||Mammals
Erignathus barbatus|Bearded Seal|1|Alaska|0||Mammals
Erophylla sezekorni|buffy flower bat|1|Puerto Rico|0||Mammals
Eumops perotis|Western Bonneted Bat|1|California|0||Mammals
Glaucomys sabrinus alpinus|Richardson flying squirrel|1|Alaska|0||Mammals
Gulo gulo katschemakensis|wolverine, Kenai|1|Alaska|0||Mammals
Lepus americanus bairdii|Snowshoe Hare|1|New Mexico|0||Mammals
Lepus californicus bennettii|San Diego black-tailed jackrabbit|1|California|0||Mammals
Lepus callotis gaillardi|White-Sided Jack Rabbit|1|New Mexico|0||Mammals
Lepus townsendii campanius|White-Tailed Jack Rabbit|1|New Mexico|0||Mammals
Lontra canadensis mira|river otter, Prince of Wales|1|Alaska|0||Mammals
Lynx rufus pallescens|Pallid Bobcat|1|California|0||Mammals
Marmota caligata caligata|hoary marmot, Montague Island|1|Alaska|0||Mammals
Marmota monax|Woodchuck|1|Ohio|0||Mammals
Martes americana humboldtensis|Humboldt Marten|1|California|0||Mammals
Martes americana kenaiensis|marten, Kenai|1|Alaska|0||Mammals
Martes americana origenes|American Marten|1|New Mexico|0||Mammals
Martes americana sierrae|Sierra Marten|1|California|0||Mammals
Mesoplodon stejnegeri|Stejneger's Beaked Whale|1|Alaska|0||Mammals
Microdipodops megacephalus albiventer|Desert Valley kangaroo mouse|1|Nevada|0||Mammals
Microdipodops megacephalus nasutus|Fletcher dark kangaroo mouse|1|Nevada|0||Mammals
Microtus breweri|Beach Vole|1|Massachusetts|0||Mammals
Mustela erminea alascensis|ermine|1|Alaska|0||Mammals
Mustela erminea celenda|ermine, Prince of Wales|1|Alaska|0||Mammals
Mustela erminea initis|ermine|1|Alaska|0||Mammals
Mustela erminea kadiacensis|ermine, Kodiak|1|Alaska|0||Mammals
Mustela erminea salva|ermine|1|Alaska|0||Mammals
Mustela erminea seclusa|ermine, Suemez Island|1|Alaska|0||Mammals
Mustela vison mink|Common Mink|1|Florida|0||Mammals
Ochotona princeps saxatilis|Goat Peak Pika|1|New Mexico|0||Mammals
Ochotona princeps schisticeps|White Mountains Pika|1|California|0||Mammals
Odocoileus virginianus|white-tailed deer|2|Ohio,Oregon|0||Mammals
Otospermophilus variegatus|Rock Squirrel|1|Idaho|0||Mammals
Ovis canadensis californiana|California bighorn sheep|1|California|0||Mammals
Panthera onca arizonensis|Arizona Jaguar|1|New Mexico|0||Mammals
Perognathus inornatus inornatus|San Joaquin Pocket Mouse|1|California|0||Mammals
Perognathus inornatus neglectus|Mckittrick Pocket Mouse|1|California|0||Mammals
Perognathus inornatus psammophilus|Salinas Pocket Mouse|1|California|0||Mammals
Perognathus longimembris salinensis|No common name|1|California|0||Mammals
Perognathus longimembris tularensis|No common name|1|California|0||Mammals
Peromyscus boylii|Brush Mouse|1|Nevada|0||Mammals
Peromyscus merriami|Mesquite Mouse|1|Arizona|0||Mammals
Phenacomys intermedius|Western Heather Vole|2|Minnesota,Wyoming|0||Mammals
Procyon lotor|Raccoon|1|Ohio|0||Mammals
Pteropus mariannus|Marianas flying fox|1|Northern Mariana Islands|0||Mammals
Pusa hispida|Ringed Seal|1|Alaska|0||Mammals
Rangifer tarandus caribou|woodland caribou|1|Alaska|0||Mammals
Rattus rattus|House Rat|1|Ohio|0||Mammals
Scapanus latimanus|Broad-footed Mole|1|Nevada|0||Mammals
Scapanus latimanus insularis|Angel Island Mole|1|California|0||Mammals
Scapanus orarius|Pacific mole|1|Idaho|0||Mammals
Sciurus niger|fox squirrel|3|North Carolina,Ohio,South Carolina|0||Mammals
Sorex longirostris fisheri|Dismal Swamp southeastern shrew|1|Virginia|0||Mammals
Sorex lyelli|Lyell shrew|1|California|0||Mammals
Sorex monticolus elassodon|dusky shrew, Queen Charlotte Islands|1|Alaska|0||Mammals
Sorex neomexicanus|New Mexico Shrew|1|New Mexico|0||Mammals
Sorex trowbridgii|Trowbridge's Shrew|1|Nevada|0||Mammals
Sorex yukonicus|Alaskan Tiny Shrew|1|Alaska|0||Mammals
Tamias amoenus celeris|Humboldt yellow-pine chipmunk|1|Nevada|0||Mammals
Tamias dorsalis|Cliff Chipmunk|1|Wyoming|0||Mammals
Tamias palmeri|Palmer's Chipmunk|1|Nevada|0||Mammals
Tamias panamintinus acrus|Kingston Mountain Chipmunk|1|California|0||Mammals
Tamias senex|Allen's Chipmunk|1|Nevada|0||Mammals
Tamias umbrinus nevadensis|Hidden Forest Uinta chipmunk|1|Nevada|0||Mammals
Thomomys bottae abstrusus|Fish Spring pocket gopher|1|Nevada|0||Mammals
Thomomys bottae curtatus|San Antonio pocket gopher|1|Nevada|0||Mammals
Thomomys bottae guadalupensis|Guadalupe southern pocket gopher|1|Texas|0||Mammals
Thomomys bottae limpiae|Limpia southern pocket gopher|1|Texas|0||Mammals
Thomomys bottae operarius|Owens Lake Pocket Gopher|1|California|0||Mammals
Thomomys bottae texensis|Limpia Creek pocket gopher|1|Texas|0||Mammals
Thomomys talpoides macrotis|Douglas County pocket gopher|1|Colorado|0||Mammals
Thomomys townsendii|Townsend's Pocket Gopher|1|Idaho|0||Mammals
Thomomys umbrinus emotus|Animas southern pocket gopher|1|New Mexico|0||Mammals
Urocitellus armatus|Uinta Ground Squirrel|1|Wyoming|0||Mammals
Urocitellus brunneus brunneus|northern Idaho ground squirrel|1|Idaho|0||Mammals
Urocitellus brunneus endemicus|Southern Idaho Ground Squirrel|1|Idaho|0||Mammals
Urocitellus elegans|Wyoming Ground Squirrel|3|Idaho,Utah,Wyoming|0||Mammals
Urocitellus townsendii townsendii|Townsend's ground squirrel ssp.|1|Washington|0||Mammals
Urocyon littoralis|Island Fox|1|California|0||Mammals
Ursus americanus amblyceps|Black Bear|1|New Mexico|0||Mammals
Ursus americanus americanus|American black bear|1|Arkansas|0||Mammals
